asin,title,brand,category,price,currency,original_price,discount_percent,rating,review_count,bought_last_month,availability,is_prime,seller,product_url,image_url,scraped_at
B0D2HJDH94,"Wireless Bluetooth 5.4 Earbuds, Ear Buds LED Power Display Headphones 6D Stereo, Bluetooth Earbuds in-Ear Noise Cancelling Mic, 40H Playback Mini Case IP7 Waterproof Sports Earphones for Android iOS",,wireless earbuds,,USD,,0.0,4.3,,1000,In Stock,False,,,https://m.media-amazon.com/images/I/619XqESa6IL._AC_UY218_.jpg,2026-06-12T09:59:21.997178
B0FHWKYT89,"Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic, LED Display in Ear Earphones Clear Calls, IP7 Waterproof Bluetooth Earbuds for Phones/Sports/Laptop, White",,wireless earbuds,,USD,,0.0,4.5,,10000,In Stock,False,,,https://m.media-amazon.com/images/I/61HyQ94QVGL._AC_UY218_.jpg,2026-06-12T09:59:22.164291
B0BTYCRJSS,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",,wireless earbuds,2312.31,USD,3832.12,39.66,4.4,,10000,In Stock,False,,,https://m.media-amazon.com/images/I/51Yya2WtvkL._AC_UY218_.jpg,2026-06-12T09:59:22.369466
B0G1PJLWLZ,"Samsung Galaxy Buds 4 Pro (2026) AI True Wireless Bluetooth Earbuds, Hi-Res Audio, 2-Way Speaker, ANC 2.0, Optimized Comfort, IP57, Live Translation, Black [US Version, 2 Yr Warranty]",,wireless earbuds,22902.65,USD,,0.0,4.6,,8000,In Stock,False,,,https://m.media-amazon.com/images/I/51QEHqsjzPL._AC_UY218_.jpg,2026-06-12T09:59:22.665915
B0D8BZDPXB,"Bose QuietComfort Earbuds - True Wireless Bluetooth Earbuds with Active Noise Cancellation and Mic, USB-C Charging, IPX4 Rating, Up to 8.5 Hours of Playtime, Black",,wireless earbuds,,USD,,0.0,3.9,,3000,In Stock,False,,,https://m.media-amazon.com/images/I/51mVon5oCYL._AC_UY218_.jpg,2026-06-12T09:59:22.838444
B0D8CDCY2B,"JLab, Epic Air Sport ANC 3, True Wireless Earbuds, Active Noise Cancelling, Bluetooth, Sport, Black",,wireless earbuds,,USD,,0.0,3.6,,500000000,In Stock,False,,,https://m.media-amazon.com/images/I/71lPAASEaFL._AC_UY218_.jpg,2026-06-12T09:59:23.030424
B0FNRXZV67,Samsung Galaxy Buds Core SM-R410 (2025) | Latin American Stock | Bluetooth 5.4 | Active Noise Cancelation | up to 35h Continuous Music Playblack - (Black),,wireless earbuds,,USD,,0.0,4.4,,7000,In Stock,False,,,https://m.media-amazon.com/images/I/51Cl+s8HMXL._AC_UY218_.jpg,2026-06-12T09:59:23.329334
B0FGYDF3DD,"SAMSUNG Galaxy Buds 3 FE (2025) True Wireless Bluetooth Earbuds, Active Noise Cancellation, Powerful Sound, Clear Calls, Long Lasting Battery, Hands Free AI, Black [US Version, 2 Year Warranty]",,wireless earbuds,,USD,,0.0,4.4,,1000,In Stock,False,,,https://m.media-amazon.com/images/I/61hadKRotcL._AC_UY218_.jpg,2026-06-12T09:59:23.585226
B0FSLTLDTG,"Bose New QuietComfort Ultra Bluetooth Earbuds (2nd Gen), Wireless Noise Cancelling Earbuds, Up to 6 Hours Battery, IPX4 Rating, Immersive Audio, Deep Bass + Green Extreme Charger (Midnight Violet)",,wireless earbuds,,USD,,0.0,4.5,,,In Stock,False,,,https://m.media-amazon.com/images/I/51JrHkRJoXL._AC_UY218_.jpg,2026-06-12T09:59:24.006715
B0B4PSQHD5,"Bose QuietComfort Earbuds II, Wireless, Bluetooth, Proprietary Active Noise Cancelling Technology in-Ear Headphones with Personalized Noise Cancellation & Sound, Triple Black",,wireless earbuds,,USD,,0.0,3.9,,,In Stock,False,,,https://m.media-amazon.com/images/I/51qRS8hb-9L._AC_UY218_.jpg,2026-06-12T09:59:24.287935
B0CHYJLG8G,"Wireless Earbuds, Bluetooth 5.4 Headphones in Ear with Noise Cancelling Mic, Bluetooth Earbuds Stereo Bass, IP7 Waterproof Sports Earphones, 32H Playtime USB C Charging Ear Buds Gray for Android iOS",,wireless earbuds,,USD,,0.0,4.3,,300000000,In Stock,False,,,https://m.media-amazon.com/images/I/61+yt9CZm9L._AC_UY218_.jpg,2026-06-12T09:59:24.493122
B0CL8CJPVM,"Samsung Galaxy Buds Fan Edition(FE) SM-R400, Active Noise-Cancelling, Wireless Bluetooth v5.2 Earbuds, Android 8.0 and Up - (Graphite)",,wireless earbuds,,USD,,0.0,4.4,,500000000,In Stock,False,,,https://m.media-amazon.com/images/I/51TaSV5ZC6L._AC_UY218_.jpg,2026-06-12T09:59:24.666541
B0GZ7FSS9N,"Wireless Earbuds, Bluetooth 5.4 Headphones HiFi Stereo with 4 HD Mic, 50H Playtime Bluetooth Earbuds with Dual LED Display, IPX7 Waterproof Wireless Earphones, Touch Control Ear Buds,USB-C,White",,wireless earbuds,,USD,,0.0,5.0,,200000000,In Stock,False,,,https://m.media-amazon.com/images/I/614MWsEaT2L._AC_UY218_.jpg,2026-06-12T09:59:24.847122
B0GYQG8SWD,GNMN Active Noise Cancelling Ear Buds Wireless Earbuds 96hrs Playback Bluetooth Headphones Dual Battery Display Stereo Bass Earphones with Earhooks Microphone IPX7 Waterproof for Sports/Runing/Workout,,wireless earbuds,,USD,,0.0,4.9,2000000,1000,In Stock,False,,,https://m.media-amazon.com/images/I/717VeiPNjDL._AC_UY218_.jpg,2026-06-12T09:59:25.122555
B0GX12VR8D,Active Noise Cancelling Ear Buds Wireless Earbuds 80H Playtime Bluetooth Headphones Over Ear Hooks Earphones with Power Display Case Hi-Res Stereo & Clear Calls for Sports Running Gym Workout Black,,wireless earbuds,,USD,,0.0,4.7,2000000,8000,In Stock,False,,,https://m.media-amazon.com/images/I/71JunErTWgL._AC_UY218_.jpg,2026-06-12T09:59:25.324479
B0DJH46BBL,"Lenovo E310 True Wireless Earbuds, Bluetooth 5.3 TWS Headphones with 13mm Drivers, AI Noise Reduction Mic, Up to 20H Battery with Case, USB-C Charging, IPX4 Water Resistant, Touch Control, Black",,wireless earbuds,1580.19,USD,2107.24,25.01,3.9,,500000000,In Stock,False,,,https://m.media-amazon.com/images/I/513qzujhE9L._AC_UY218_.jpg,2026-06-12T09:59:25.538678
